,ESL0825_0,ESL0822_4,ESL0170_5,ESL0824_6,ESL0198_8,ESL0827_10,ESL0199_12,ESL0200_13,ESL0819_14,ESL0197_15,ESL0394_20,ESL0394_21,ESL0394_22,ESL0394_23,ESL0295_24,ESL0353;ESL0185_26,ESL0263_27,ESL0263_28,ESL0183;ESL0262_29,ESL0183;ESL0262_30,ESL0183;ESL0262_31,ESL0183;ESL0262_32,ESL0184_48,ESL0184_49,ESL0184_50,ESL0184_51,ESL0350_52,ESL0350_53,ESL0350_54,ESL0350_55,ESL0186_56,ESL0186;ESL0351_57,ESL0261_58,ESL0261_59,ESL0820_61,ESL0827_62,unk_0,unk_1,unk_2,unk_3,unk_4,unk_5,unk_6,unk_7,unk_8,unk_9,unk_10,unk_11,unk_12,unk_13,unk_14,unk_15,unk_16,unk_17,unk_18,unk_19,unk_20,unk_21,unk_22,unk_23,unk_24,unk_25,unk_26,unk_27,unk_28,unk_29,unk_30,unk_31,total
3-12_filt_reads.fastq.gz,0,0,716,0,1053,0,849,0,55,15,1752,2166,2939,1806,0,0,3789,14330,169,302,224,286,0,0,0,0,1876,3617,1463,1409,0,0,911,2433,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44112
1-2_filt_reads.fastq.gz,131,0,50,98,36,45,34,0,0,0,275,363,329,321,0,354,672,2095,210,217,213,235,0,0,0,0,312,337,234,251,0,0,219,755,58,0,0,0,0,0,0,0,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7883
2-2_filt_reads.fastq.gz,1343,719,0,1010,0,463,0,156,0,358,0,3,0,0,3709,2556,398,1493,815,1071,863,1098,1228,1722,1705,1902,0,0,0,0,3878,2697,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29657
2-14_filt_reads.fastq.gz,766,417,0,1000,17,264,34,51,0,46,101,139,170,114,3071,2049,950,3141,433,460,439,546,0,0,0,0,261,307,186,164,3165,2547,0,0,53,282,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21178
3-2_filt_reads.fastq.gz,2885,707,0,1412,0,509,32,55,0,21,391,436,631,375,0,3554,1659,5862,1304,1887,1523,1595,0,0,0,0,296,513,255,195,7471,5573,0,0,26,454,0,0,0,0,0,5,2,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39708
3-14_filt_reads.fastq.gz,1873,694,0,1654,0,571,12,90,0,0,236,254,353,212,70,3904,1724,6172,686,844,752,880,41,31,0,28,56,140,47,54,7378,5307,0,0,29,512,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34606
1-3_filt_reads.fastq.gz,1306,919,106,1737,258,248,684,0,18,45,1069,1419,2144,1223,3158,296,2381,9885,99,159,147,145,193,112,129,114,831,1350,604,511,365,259,805,2278,1002,260,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36269
2-3_filt_reads.fastq.gz,995,405,772,1686,2209,221,1173,0,194,34,1446,1766,2841,1367,9176,129,2364,8734,318,637,371,499,0,0,0,0,1427,3499,935,903,3426,1683,121,85,2519,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52198
2-15_filt_reads.fastq.gz,132,0,993,50,279,0,331,0,165,7,979,1196,1486,1044,6,0,3148,12458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049,2952,1618,0,0,0,0,0,0,50,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,27957
3-3_filt_reads.fastq.gz,330,33,147,102,307,24,203,0,0,0,1025,1155,1400,1054,1784,36,2831,9950,82,73,78,94,0,0,0,0,558,827,508,495,70,0,400,1266,346,0,0,0,0,0,0,37,26,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,25252
3-15_filt_reads.fastq.gz,503,55,1445,227,2069,68,1459,0,81,206,374,455,689,357,4371,52,1304,4610,240,531,304,465,0,0,0,0,3158,6583,2497,2223,219,0,2254,7062,2826,60,716,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47469
1-6_filt_reads.fastq.gz,767,436,0,573,0,162,0,24,0,0,18,23,0,25,2665,507,186,652,1011,966,1010,1262,0,0,0,0,0,0,0,0,1062,882,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12382
2-6_filt_reads.fastq.gz,3329,1172,110,5133,160,1349,46,599,0,594,161,187,253,158,30,5274,1294,5196,108,0,57,54,0,0,0,0,22,79,0,0,10808,7818,0,0,63,1504,0,715,0,0,327,0,0,131,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46741
2-18_filt_reads.fastq.gz,1400,565,0,1081,0,317,14,112,0,20,113,139,142,98,2085,3177,634,2250,2588,2984,2890,3472,0,0,0,0,0,0,0,24,5336,3721,0,0,12,259,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33435
3-6_filt_reads.fastq.gz,1457,342,0,1490,0,251,13,107,0,0,114,157,202,137,0,3563,1004,3396,2022,1926,2177,2430,0,0,0,0,29,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21066
3-18_filt_reads.fastq.gz,943,267,0,824,0,270,0,55,0,0,45,59,69,49,761,2150,743,2865,1877,1908,2013,2261,0,0,0,0,0,0,0,0,8783,7194,0,0,0,203,0,0,0,0,0,40,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,33384
1-7_filt_reads.fastq.gz,218,129,208,213,617,88,537,0,59,0,1044,1248,1807,1010,288,81,2307,8692,84,145,118,149,0,0,0,0,1018,1573,739,638,151,91,1048,2992,817,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28127
2-7_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2-19_filt_reads.fastq.gz,474,34,971,122,1340,53,536,0,55,45,1800,2171,2644,1704,13,0,4455,19245,462,1149,637,710,0,0,0,0,2269,4567,1341,1337,0,0,1602,3470,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54216
3-7_filt_reads.fastq.gz,438,52,315,179,794,97,558,0,60,7,1449,1795,2554,1442,749,169,2833,10712,851,1482,1033,1245,0,0,0,0,1747,3238,1278,1191,1552,943,0,0,1185,0,0,0,0,0,0,32,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,39997
3-19_filt_reads.fastq.gz,364,96,56,334,327,73,209,0,139,0,101,105,130,84,1648,3658,482,1460,1649,1886,1716,1982,0,0,0,0,531,828,442,419,3951,2962,671,1838,482,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28649
