ID,Type,Experiment,Plate,Treatment,is_low,Ct_Mean_bac,Ct_SD_bac,bac_copies,total_counts,sum_present
2-4_5,bee,2,3,B4-A4,,15.6552429199219,0.073136106133461,2529240694.95619,5909,14
2-4_6,bee,2,3,B4-A4,,16.0040225982666,0.137259304523468,1996224837.48211,1983,12
2-4_7,bee,2,3,B4-A4,,17.443208694458,0.17643578350544,751796955.207189,4330,11
2-4_8,bee,2,3,B4-A4,,15.3449668884277,0.0982891619205475,3121938598.5347,4345,13
2-4_9,bee,2,3,B4-A4,,16.5334491729736,0.457396149635315,1393780951.35785,2791,10
2-6_1,bee,2,3,B5-0,,13.9867238998413,0.0231603588908911,7846579846.66147,9918,11
2-6_2,bee,2,3,B5-0,,13.4201898574829,0.120485499501228,11524720536.4754,6513,12
2-6_3,bee,2,3,B5-0,,17.1040477752686,0.164978638291359,946339022.834539,14782,12
2-6_4,bee,2,3,B5-0,,14.2211532592773,0.226712688803673,6692635949.70531,7192,13
2-6_5,bee,2,3,B5-0,,15.9375925064087,0.0583011247217655,2088264542.10445,7329,11
2-6_6,bee,2,3,B5-0,,13.598916053772,0.0337467677891254,10208505885.6265,8278,12
2-6_7,bee,2,3,B5-0,,15.2999753952026,0.102627515792847,3218716664.19772,10096,12
2-6_8,bee,2,3,B5-0,,16.963228225708,0.417916178703308,1041224519.26297,1465,10
2-8_1,bee,2,4,B5-A5,,12.1236114501953,0.309787511825562,27778879054.7573,5402,13
2-8_2,bee,2,4,B5-A5,,16.1453475952148,0.231152400374413,1813689207.0622,3382,12
2-8_3,bee,2,4,B5-A5,,12.8932294845581,0.312773913145065,16478534150.9839,4354,12
2-8_4,bee,2,4,B5-A5,,17.4428997039795,0.0985269770026207,751954595.524511,25616,12
2-8_5,bee,2,4,B5-A5,,18.1699085235596,0.230372190475464,459147097.193381,37514,19
2-8_6,bee,2,4,B5-A5,,17.8623542785645,0.139956668019295,565697116.734169,4406,13
2-8_7,bee,2,4,B5-A5,,13.5672178268433,0.745865106582642,10430454357.5346,3929,16
